Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9
Bourbon Sour,Bourbon,Lemon juice,Sugar,Orange,Maraschino cherry,,,,,2,1,0.05,,,,,,
Boxcar,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,1.5,1,0.1,0.05,1,,,,
Bramble,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,4,1.5,1,1.5,,,,,
Brandy Alexander,Brandy,Creme de Cacao,Light cream,Nutmeg,,,,,,1,1,1,,,,,,
Brandy Cobbler,Sugar,Club soda,Lemon,Brandy,Maraschino cherry,Orange,,,,0.1,3,1,2,,,,,
Brandy Flip,Brandy,Egg,Sugar,Light cream,Nutmeg,,,,,2,1,0.1,0.05,0.0125,,,,
Brandy Sour,Brandy,Lemon,Powdered sugar,Lemon,Cherry,,,,,2 oz ,Juice of 1/2 ,1/2 tsp ,1/2 slice ,1,,,,
Caipirinha,Sugar,Lime,Cachaca,,,,,,,0.2,1,2.5,,,,,,
Caipirissima,Lime,Sugar,White rum,Ice,,,,,,2,0.6,3,,,,,,
California Lemonade,Blended whiskey,Lemon,Lime,Powdered sugar,Grenadine,Carbonated water,,,,2,Juice of 1 ,Juice of 1 ,0.3,0.025,,,,
Casa Blanca,Light rum,Triple sec,Lime juice,Maraschino liqueur,,,,,,2,1.5,1.5,1.5,,,,,
Casino,Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry,,,,,2,0.25,0.25,0.02,,,,,
Casino Royale,Gin,Lemon juice,Maraschino liqueur,Orange bitters,Egg yolk,,,,,2,0.5,0.1,0.01,1,,,,
Champagne Cocktail,Champagne,Sugar,Bitters,Lemon peel,Cognac,,,,,Chilled ,1 piece ,2 dashes ,1 twist of ,1 dash,,,,
Cherry Rum,Light rum,Cherry brandy,Light cream,,,,,,,1.25,0.15,0.3,,,,,,
Chicago Fizz,Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water,,,,1,1,Juice of 1/2 ,0.1,1,6,,,
Chocolate Black Russian,Kahlua,Vodka,Chocolate ice-cream,,,,,,,1,0.5,5,,,,,,
City Slicker,Brandy,Triple sec,Lemon juice,,,,,,,2,0.5,0.3,,,,,,
Classic Old-Fashioned,Bitters,Water,Sugar,Bourbon,Orange,Maraschino cherry,,,,0.03,0.1,1,3,,,,,
Clove Cocktail,Sweet Vermouth,Sloe gin,Wine,,,,,,,1,0.5,0.5,,,,,,
Clover Club,Gin,Grenadine,Lemon,Egg white,,,,,,1.5,0.2,Juice of 1/2 ,1,,,,,
Cuba Libra,Dark rum,Lime,Coca-Cola,Ice,,,,,,3,0.75,8,,,,,,
Cuba Libre,Light rum,Lime,Coca-Cola,,,,,,,2 oz ,Juice of 1/2 ,,,,,,,
Daiquiri,Light rum,Lime,Powdered sugar,,,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,,,,,,
Dark and Stormy,Dark Rum,Ginger Beer,,,,,,,,5,10,,,,,,,
Derby,gin,Peach Bitters,Mint,,,,,,,6 cl,2 dashes,2 Fresh leaves,,,,,,
